,STATE,DISTRICT,COLLEGE NAME,ADDRESS
342,KERALA,KOZHIKODE,KMCT COLLEGE OF ENGINEERING,"KMCT COLLEGE OF ENGINEERING KALANTHODE, MANASSERY POST MUKKAM (VIA) KOZHIKODE KERALA PIN:673602"
343,KERALA,THIRUVANANTHAPURAM,"GOVT. ENGINEERING COLLEGE, BARTON HILL","BARTON HILL, VANCHIYOOR P.O., TRIVANDRUM - 695035"
344,KERALA,ERNAKULAM,MAR BASELIOS INSTITUTE OF TECHNOLOGY AND SCIENCE,"NELLIMATTOM P.O. KOTHAMANGALAM, ERNAKULAM DISTRICT., KERALA - 686693"
345,KERALA,THIRUVANANTHAPURAM,"COLLEGE OF ENGINEERING, ATTINGAL","COLLEGE OF ENGINEERING, ATTINGAL ATTINGAL P.O. PINCODE 695101, TRIVANDRUM, KERALA"
346,KERALA,ALAPPUZHA,COLLEGE OF ENGINEERING CHENGANNUR,"CHENGANNUR, ALAPPUZHA DIST., KERALA - 689 121"
347,KERALA,THRISSUR,MALABAR COLLEGE OF ENGINEERING AND TECHNOLOGY,"DESAMANGALAM, PALLUR.P.O., CHERUTHURUTHY (VIA), THRISSUR (DIST), KERALA, 679 532"
348,KERALA,IDUKKI,COLLEGE OF ENGINEERING MUNNAR,P.B.NO.45 COUNTY HILLS MUNNAR
349,KERALA,IDUKKI,MAR BASELIOS CHRISTIAN COLLEGE OF ENGINEERING & TECHNOLOGY,"PALLIKKUNNU P.O KUTTIKKANAM, PEERMADE IDUKKI DIST. KERALA PIN- 685 531"
350,KERALA,ALAPPUZHA,ST.THOMAS COLLEGE OF ENGINEERING & TECHNOLOGY,"KOZHUVALOOR P.O, VENMONEY, CHENGANNUR, ALAPPUZHA (DIST.), KERALA, PIN : 689 521"
351,KERALA,THIRUVANANTHAPURAM,PANKAJAKASTHURI COLLEGE OF ENGINEERING AND TECHNOLOGY,PANKAJAKASTHURI COLLEGE OF ENGINEERING AND TECHNOLOGY KANDALA THIRUVANANTHAPURAM
352,KERALA,ERNAKULAM,SCMS SCHOOL OF ENGINEERING & TECHNOLOGY,"VIDYA NAGAR, PALISSERY, KARUKUTTY"
353,KERALA,THIRUVANANTHAPURAM,ST THOMAS INSTITUTE FOR SCIENCE AND TECHNOLOGY,"MAR CHRYSOSTOM NAGAR, KATTAIKONAM P O"
354,KERALA,ERNAKULAM,BASELIOS THOMAS I CATHOLICOSE COLLEGE OF ENGINEERING & TECHNOLEGY,"SYRIAN PARK, KOOTHATTUKULAM, ERNAKULAM, KOCHI"
355,KERALA,PATHANAMTHITTA,"COLLEGE OF ENGINEERING,ARANMULA",ARANMULA P.O PATHANAMTHITTA PIN 689533
356,KERALA,KOLLAM,"COLLEGE OF ENGINEERING, PATHANAPURAM","ELIKATTOOR P.O., PIRAVANTHOOR KOLLAM - 689 696"
357,KERALA,THRISSUR,UNIVERSAL ENGINEERING COLLEGE,"PAINGODE, PO. VALLIVATTOM, VIA. KONATHAKUNNU, THRISSUR DT, KERALA, INDIA."
358,KERALA,PALAKKAD,AMMINI COLLEGE OF ENGINEERING,KANNAMPARIYARAM POST MANKARA
359,KERALA,KOTTAYAM,TOMS COLLEGE OF ENGINEERING FOR STARTUPS,"MATTAKARA P.O., KOTTAYAM, KERALA, PIN - 686564"
360,KERALA,KANNUR,ST.THOMAS COLLEGE OF ENGINEERING & TECHNOLOGY,"SIVAPURAM P.O, MATTANNUR (VIA), KANNUR"
361,KERALA,KOTTAYAM,AMAL JYOTHI COLLEGE OF ENGINEERING,KOOVAPPALLY P.O KOTTAYAM DISTRICT KERALA - 686 518
362,KERALA,KOZHIKODE,"COLLEGE OF ENGINEERING, VADAKARA",MANDARATHUR PO VADAKARA KOZHIKODE KERALA PIN: 673105
363,KERALA,KOTTAYAM,GURUDEVA INSTITUTE OF SCIENCE AND TECHNOLOGY,"VENNIMALA, PAYYAPPADY P O, PUTHUPPALLY, KOTTAYAM - 686034, KERALA"
364,KERALA,IDUKKI,GOVERNMENT ENGINEERING COLLEGE IDUKKI,PAINAVU PO IDUKKI DISTRICT KERALA INDIA
365,KERALA,ERNAKULAM,ADI SHANKARA INSTITUTE OF ENGINEERING AND TECHNOLOGY,"SANKAR NAGAR, MATTOOR,KALADY, ERNAKULAM, KERALA"
366,KERALA,PALAKKAD,GOVERNMENT ENGINEERING COLLEGE SREEKRISHNAPURAM,"GOVERNMENT ENGINEERING COLLEGE SREEKRISHNAPURAM PALAKKAD, MANNAMPATTA P.O, PALAKKAD DIST, KERALA-678633"
367,KERALA,KOTTAYAM,MANGALAM COLLEGE OF ENGINEERING,MANGALAM HILLS VETTIMUKAL .P.O ETTUMANOOR
368,KERALA,THIRUVANANTHAPURAM,LBS INSTITUTE OF TECHNOLOGY FOR WOMEN,"POOJAPPURA. P. O, THIRUVANANTHAPURAM, KERALA - 695012"
369,KERALA,ERNAKULAM,KMEA ENGINEERING COLLEGE,KUZHIVELIPADY EDATHALA.P.O ALUVA ERNAKULAM (DIST) KERALA.683561
370,KERALA,THIRUVANANTHAPURAM,LOURDES MATHA COLLEGE OF SCIENCE AND TECHNOLOGY,"KUTTICHAL P O, TRIVANDRUM KERALA PIN 695 574"
371,KERALA,ERNAKULAM,JAIBHARATH COLLEGE OF MANAGEMENT & ENGINEERING TECHNOLOGY,ARACKAPADY VENGOLA P O PERUMBAVOOR ERNAKULAM DT
372,KERALA,PATHANAMTHITTA,SREE NARAYANA INSTITUTE OF TECHNOLOGY,"THEPPUPARA, EZHAMKULAM"
373,KERALA,THRISSUR,SAHRDAYA COLLEGE OF ENGINEERING & TECHNOLOGY,PB NO. 17 KODAKARA THRISSUR KERALA - 680 684
374,KERALA,THIRUVANANTHAPURAM,COLLEGE OF ENGINEERING MUTTATHARA,"ST:SEBASTIAN CHURCH ROAD,VALLAKADAVU. P. O,THIRUVANANTHAPURAM"
375,MADHYA PRADESH,BHOPAL,JAI NARAIN COLLEGE OF TECHNOLOGY & SCIENCE,"NEW CHOUKSEY NAGAR, LAMBAKHEDA,BERASIA ROAD, BHOPAL"
376,MADHYA PRADESH,BHOPAL,ALL SAINTS' COLLEGE OF ENGINEERING,"NEW PIPALNAIR, NEARGANDHI NAGAR-462031"
377,MADHYA PRADESH,BHOPAL,RKDF COLLEGE OF TECHNOLOGY,"NH-12,HOSHANGABAD ROAD JATKHEDI,BHOPAL"
378,MADHYA PRADESH,BHOPAL,SAGAR INSTITUTE OF RESEARCH TECHNOLOGY AND SCIENCE,"NEAR ISRO, AYODHYA NAGAR, BHOPAL."
379,MADHYA PRADESH,BHOPAL,RKDF INSTITUTE OF SCIENCE & TECHNOLOGY,"NH-12, HOSHANGABAD ROAD MISROD ,BHOPAL"
380,MADHYA PRADESH,BHOPAL,ORIENTAL INSTITUTE OF SCIENCE & TECHNOLOGY,"THAKRAL NAGAR, RAISEN ROAD, BHOPAL"
381,MADHYA PRADESH,BURHANPUR,THAKUR SHIVKUMARSINGH MEMORIAL ENGINEERING COLLEGE,NAVALNAGAR ZIRI
382,MADHYA PRADESH,BHOPAL,MILLENNIUM INSTITUTE OF TECHNOLOGY,"NATHU BARKHERA ROAD, NEAR NEELBAD, BHOPAL"
383,MADHYA PRADESH,BHOPAL,TECHNOCRATS INSTITUE OF TECHNOLOGY & SCIENCE,"IN FRONT OF HATHAIKHEDA DAM, POST PIPLANI, P.B.NO-24,BHEL"
384,MADHYA PRADESH,BHOPAL,"BHABHA COLLEGE OF ENGINEERING, BHOPAL","NEAR RGPV CAMPUS, AIRPORT BYPASS ROAD, GONDERMAU, GANDHINAGAR, BHOPAL"
385,MADHYA PRADESH,BHOPAL,CORPORATE INSTITUTE OF SCIENCE & TECHNOLOGY,"HATAIKHEDA, NEAR PATEL NAGAR, RAISEN ROAD"
386,MADHYA PRADESH,GUNA,SAKSHI INSTITUTE OF TECHNOLOGY AND MANAGEMENT,"VILLAGE MYANA, A.B. ROAD"
387,MADHYA PRADESH,BHOPAL,IASSCOM FORTUNE INSTITUTE OF TECHNOLOGY,GRAM RASULIA GOSAI RATIBAD SIKANDARABAD ROAD BHOPAL
388,MADHYA PRADESH,BHOPAL,TECHNOCRATS INSTITUTE OF TECHNOLOGY (EXCELLENCE),"INFRONT OF HATHAIKHEDA DAM, POST PIPLANI, P.B. NO.-24, BHEL"
389,MADHYA PRADESH,GWALIOR,BVM COLLEGE OF TECHNOLOGY & MANAGEMENT,"SHIVPURI LINK ROAD, GWALIOR (M.P.)"
390,MADHYA PRADESH,BHOPAL,SRI SATYA SAI COLLEGE OF ENGINEERING,"NEAR RGPV CAMPUS AIRPORT BY-PASS ROAD, GONDERMAU, GANDHINAGAR, BHOPAL"
391,MADHYA PRADESH,INDORE,VIDYASAGAR INSTITUTE OF TECHNOLOGY,"GARIPIPLIYA, AATH MEEL, NEMAWAR ROAD, INDORE"
392,MADHYA PRADESH,INDORE,VINDHYA INSTITUTE OF TECHNOLOGY AND SC,UMRIKHEDA KHANDWA ROAD INDORE
393,MADHYA PRADESH,JABALPUR,GYAN GANGA COLLEGE OF TECHNOLOGY,"P.O. TILWARA GHAT, GARHA NEAR SHAH NALA, TRIPURI WARD, JABALPUR 482003 MADHYA PRADESH"
394,MADHYA PRADESH,JABALPUR,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCES,"P.O: TILWARA GHAT, GARHA, NEAR SHAH NALA, TRIPURI WARD, JABALPUR, MADHYA PRADESH-482003"
395,MADHYA PRADESH,GWALIOR,IPS COLLEGE OF TECHNOLOGY & MANAGEMENT,"BELA KI BAWADI TIRAHA, SHIVPURI LINK ROAD, GWALIOR- (M.P.) PIN CODE: 474001"
396,MADHYA PRADESH,DATIA,"NAGAJI INSTITUTE OF TECHNOLOGY & MANAGEMENT, DATIA","SHEODA ROAD, DATIA (M.P.)"
397,MADHYA PRADESH,BHOPAL,SCHOOL OF RESEARCH & TECHNOLOGY,"PEOPLE'S CAMPUS, BHANPUR ROAD BHOPAL"
398,MADHYA PRADESH,GWALIOR,ITM UNIVERSITY - GWALIOR (SCHOOL OF ENGINEERING & TECHNOLOGY),"ITM UNIVERSITY CAMPUS, NH-75, JHANSI ROAD,"
399,MADHYA PRADESH,JABALPUR,RADHASWAMI INSTITUTE OF TECHNOLOGY,"VILL AINTHAKHEDA, CHARGAWAN ROAD,POST-TILWARA, JABALPUR-482003"
400,MADHYA PRADESH,JABALPUR,SHRI RAWATPURA SARKAR INSTITUTE OF TECHNOLOGY,"NEAR BHEDAGHAT CROSSING, NH-12 JABALPUR-BHOPAL ROAD, JABALPUR"
401,MADHYA PRADESH,BHOPAL,RADHARAMAN INSTITUTE OF TECHNOLOGY AND SCIENCE,"BHADBHDA ROAD, FATEHPUR DOBRA, RATIBAD"
402,MADHYA PRADESH,RAISEN,VAISHNAVI INSTITUTES OF TECHNOLOGY AND SCIENCE,"VILLAGE MENDUA,TEHSIL GOUHARGANJ"
403,MAHARASHTRA,AHMEDNAGAR,G.H.RAISONI COLLEGE OF ENGINEERING AND MANAGEMENT,"GAT NO.1030, NAGAR PUNE HIGHWAY, CHAS, AHMEDNAGAR."
404,MAHARASHTRA,SOLAPUR,COLLEGE OF ENGINEERING VAIRAG,AT/P- SASURE- VAIRAG ON SOLAPUR BARSHI STATE HIGHWAY TAL-BARSHI DIST-SOLAPUR PIN-413 402 MAHARASHTRA
405,MAHARASHTRA,NAGPUR,LAXMINARAYAN INSTITUTE OF TECHNOLOGY,"OPP. BHARAT NAGAR, AMRAVATI ROAD"
406,MAHARASHTRA,AURANGABAD,INTERNATIONAL CENTRE OF EXCELLENCE IN ENGINEERING & MANAGEMENT,"GUT NO- 4, OPPOSIT BAJAJ AUTO LTD. ,IN FRONT OF MIDC FILTERATION PLANT AURANGABAD - PUNE HIGHWAY,"
